study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB47011	SAMEA9697026	ERX6130591	ERR6503609	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503609/ERR6503609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503609/ERR6503609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503609/NHTD_41.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503609/NHTD_41.R2.fastq.gz	
PRJEB47011	SAMEA9697027	ERX6130592	ERR6503610	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503610/ERR6503610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503610/ERR6503610_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503610/NHTD_42.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503610/NHTD_42.R2.fastq.gz	
PRJEB47011	SAMEA9697032	ERX6130593	ERR6503611	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6503611/ERR6503611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6503611/ERR6503611_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503611/NHTD_43.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503611/NHTD_43.R2.fastq.gz	
PRJEB47011	SAMEA9697033	ERX6130594	ERR6503612	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503612/ERR6503612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503612/ERR6503612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503612/NHTD_48.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503612/NHTD_48.R2.fastq.gz	
PRJEB47011	SAMEA9697028	ERX6130595	ERR6503613	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503613/ERR6503613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503613/ERR6503613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503613/NHTD_58.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503613/NHTD_58.R2.fastq.gz	
PRJEB47011	SAMEA9697029	ERX6130596	ERR6503614	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6503614/ERR6503614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6503614/ERR6503614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503614/NHTD_59.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503614/NHTD_59.R2.fastq.gz	
PRJEB47011	SAMEA9697030	ERX6130597	ERR6503615	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6503615/ERR6503615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6503615/ERR6503615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503615/NHTD_64.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503615/NHTD_64.R2.fastq.gz	
PRJEB47011	SAMEA9697031	ERX6130598	ERR6503616	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6503616/ERR6503616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6503616/ERR6503616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503616/NHTD_65.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503616/NHTD_65.R2.fastq.gz	
PRJEB47011	SAMEA9696929	ERX6130494	ERR6503617	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6503617/ERR6503617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6503617/ERR6503617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503617/VNHN08_1.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503617/VNHN08_1.R2.fastq.gz	
PRJEB47011	SAMEA9697025	ERX6130590	ERR6503618	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6503618/ERR6503618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6503618/ERR6503618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503618/VNHN08_100.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503618/VNHN08_100.R2.fastq.gz	
PRJEB47011	SAMEA9696938	ERX6130503	ERR6503619	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503619/ERR6503619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503619/ERR6503619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503619/VNHN08_11.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503619/VNHN08_11.R2.fastq.gz	
PRJEB47011	SAMEA9696939	ERX6130504	ERR6503620	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503620/ERR6503620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503620/ERR6503620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503620/VNHN08_12.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503620/VNHN08_12.R2.fastq.gz	
